868,9700,blue
2016,2105,blue
5887,5522,red
3108,4552,blue
9928,6142,blue
7605,4623,blue
2116,8468,red
4766,4040,red
6458,6908,blue
9207,7174,blue
4286,7520,blue
1814,2446,red
2162,8488,blue
1904,8406,blue
9324,6571,red
1100,2164,blue
3930,4698,red
9481,6377,red
1952,2316,red
1677,8445,red
5650,5497,blue
9348,1922,red
1065,385,red
850,9637,red
728,9457,red
4169,7507,red
782,9465,blue
4679,7595,red
4642,4174,blue
6383,6819,red
9379,6500,blue
215,9557,blue
934,9995,red
1903,2456,blue
9191,7952,red
